Number of Strands (N),Number of Bridges (M),Time (milliseconds)
10,10,0.0610999995842576
100,100,0.27150000096298754
1000,1000,3.6634999996749684
10000,10000,37.01590000127908
100000,100000,584.2914000095334
200000,200000,1477.5569000048563
500000,500000,4892.11709999654
1000000,1000000,12065.688300004695
